notification_date,postcode,likely_source_of_infection,lhd_2010_code,lhd_2010_name,lga_code19,lga_name19
2020-03-20,2229,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-20,2428,Overseas,X800,Hunter New England,15240,Mid-Coast (A)
2020-03-20,2315,Overseas,X800,Hunter New England,16400,Port Stephens (A)
2020-03-20,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-20,2097,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-20,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2026,Locally acquired - source not identified,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2250,Locally acquired - contact of a confirmed case and/or in a known cluster,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-20,2072,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-20,2072,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-20,2234,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-20,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-20,2234,Locally acquired - source not identified,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-20,2229,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-20,2218,Overseas,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-20,2099,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-20,2218,Overseas,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-20,2500,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-20,2113,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-20,2210,Overseas,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-20,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2022,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-20,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2575,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-20,2023,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2024,Locally acquired - source not identified,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2204,Locally acquired - source not identified,X700,Sydney,14170,Inner West (A)
2020-03-20,2140,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,17100,Strathfield (A)
2020-03-20,1871,Overseas,,,,
2020-03-20,2287,Overseas,X800,Hunter New England,15900,Newcastle (C)
2020-03-20,2022,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2010,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-20,2095,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-20,2068,Locally acquired - source not identified,X760,Northern Sydney,18250,Willoughby (C)
2020-03-20,2000,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-20,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2170,Overseas,X710,South Western Sydney,14900,Liverpool (C)
2020-03-20,2069,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-20,2093,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-20,2029,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2021,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2021,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2011,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-20,2612,Overseas,,,,
2020-03-20,2224,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-20,2099,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-20,2095,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-20,2034,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-20,2119,Overseas,X760,Northern Sydney,14000,Hornsby (A)
2020-03-20,2427,Overseas,X800,Hunter New England,15240,Mid-Coast (A)
2020-03-20,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2113,Overseas,X760,Northern Sydney,16700,Ryde (C)
2020-03-20,2773,Locally acquired - contact of a confirmed case and/or in a known cluster,X750,Nepean Blue Mountains,10900,Blue Mountains (C)
2020-03-20,2770,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-20,2527,Overseas,X730,Illawarra Shoalhaven,16900,Shellharbour (C)
2020-03-20,2018,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,17200,Sydney (C)
2020-03-20,2069,Locally acquired - source not identified,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-20,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2199,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-20,2343,Overseas,X800,Hunter New England,14920,Liverpool Plains (A)
2020-03-20,2096,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-20,2795,Overseas,X850,Western NSW,10470,Bathurst Regional (A)
2020-03-20,2106,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-20,2117,Overseas,X740,Western Sydney,16260,Parramatta (C)
2020-03-20,2025,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2024,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2023,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2144,Overseas,X740,Western Sydney,12380,Cumberland (A)
2020-03-20,2576,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-20,2199,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-20,2000,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-20,2508,Locally acquired - source not identified,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-20,2322,Overseas,X800,Hunter New England,15050,Maitland (C)
2020-03-20,2023,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2068,Overseas,X760,Northern Sydney,18250,Willoughby (C)
2020-03-20,2041,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,14170,Inner West (A)
2020-03-20,2111,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14100,Hunters Hill (A)
2020-03-20,2321,Locally acquired - contact of a confirmed case and/or in a known cluster,X800,Hunter New England,15050,Maitland (C)
2020-03-20,2576,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-20,2259,Overseas,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-20,2071,Locally acquired - source not identified,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-20,2025,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2060,Overseas,X760,Northern Sydney,15950,North Sydney (A)
2020-03-20,2519,Locally acquired - contact of a confirmed case and/or in a known cluster,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-20,2190,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-20,2040,Overseas,X700,Sydney,14170,Inner West (A)
2020-03-20,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-20,2021,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-20,2500,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-20,2042,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,17200,Sydney (C)
2020-03-20,2224,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-21,2527,Overseas,X730,Illawarra Shoalhaven,16900,Shellharbour (C)
2020-03-21,2155,Overseas,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-21,2107,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-21,2118,Overseas,X740,Western Sydney,16260,Parramatta (C)
2020-03-21,2122,Overseas,X760,Northern Sydney,16700,Ryde (C)
2020-03-21,2122,Overseas,X760,Northern Sydney,16700,Ryde (C)
2020-03-21,2021,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-21,2036,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-21,2079,Overseas,X760,Northern Sydney,14000,Hornsby (A)
2020-03-21,2500,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-21,2207,Overseas,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-21,2207,Overseas,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-21,2170,Overseas,X710,South Western Sydney,14900,Liverpool (C)
2020-03-21,2155,Overseas,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-21,2560,Overseas,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-21,2529,Overseas,X730,Illawarra Shoalhaven,16900,Shellharbour (C)
2020-03-21,2528,Overseas,X730,Illawarra Shoalhaven,16900,Shellharbour (C)
2020-03-21,2025,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-21,2026,Locally acquired - source not identified,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-21,2170,Overseas,X710,South Western Sydney,14900,Liverpool (C)
2020-03-21,2095,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-21,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-21,2570,Overseas,X710,South Western Sydney,11450,Camden (A)
2020-03-21,,Locally acquired - contact of a confirmed case and/or in a known cluster,,,,
2020-03-21,2560,Overseas,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-21,2500,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-21,2548,Overseas,X830,Southern NSW,10550,Bega Valley (A)
2020-03-21,2118,Overseas,X740,Western Sydney,16260,Parramatta (C)
2020-03-21,2558,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-21,2122,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-21,2261,Overseas,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-21,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-21,2541,Overseas,X730,Illawarra Shoalhaven,16950,Shoalhaven (C)
2020-03-21,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-21,2548,Locally acquired - contact of a confirmed case and/or in a known cluster,X830,Southern NSW,10550,Bega Valley (A)
2020-03-21,2027,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-21,2340,Overseas,X800,Hunter New England,17310,Tamworth Regional (A)
2020-03-21,2283,Overseas,X800,Hunter New England,14650,Lake Macquarie (C)
2020-03-21,2022,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-21,2088,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15350,Mosman (A)
2020-03-21,2088,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,15350,Mosman (A)
2020-03-21,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-21,2756,Locally acquired - source not identified,X750,Nepean Blue Mountains,13800,Hawkesbury (C)
2020-03-21,2213,Overseas,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-21,2291,Interstate,X800,Hunter New England,15900,Newcastle (C)
2020-03-21,2558,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-21,2560,Overseas,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-21,2565,Locally acquired - source not identified,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-21,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-21,2210,Overseas,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-21,2750,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-21,2040,Locally acquired - source not identified,X700,Sydney,14170,Inner West (A)
2020-03-21,2023,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-21,2023,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-21,2620,Overseas,X830,Southern NSW,16490,Queanbeyan-Palerang Regional (A)
2020-03-21,2025,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-21,2145,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,12380,Cumberland (A)
2020-03-21,2750,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-21,2760,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-21,2025,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-21,2766,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-21,2766,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-21,2155,Overseas,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-21,2145,Overseas,X740,Western Sydney,12380,Cumberland (A)
2020-03-21,2536,Overseas,X830,Southern NSW,12750,Eurobodalla (A)
2020-03-21,2536,Overseas,X830,Southern NSW,12750,Eurobodalla (A)
2020-03-21,2747,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-21,2147,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,10750,Blacktown (C)
2020-03-21,2036,Locally acquired - source not identified,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-21,2490,Overseas,X810,Northern NSW,17550,Tweed (A)
2020-03-21,2155,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-21,2219,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-21,2546,Overseas,X830,Southern NSW,12750,Eurobodalla (A)
2020-03-21,2210,Overseas,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-21,2031,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-21,2023,Overseas,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-21,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-21,2072,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-21,2011,Overseas,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-21,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-21,2125,Overseas,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-21,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-21,2095,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-21,2038,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,14170,Inner West (A)
2020-03-21,2570,Overseas,X710,South Western Sydney,11450,Camden (A)
2020-03-21,2114,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,16700,Ryde (C)
2020-03-21,2118,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,16260,Parramatta (C)
2020-03-21,2763,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-21,2357,Overseas,X850,Western NSW,18020,Warrumbungle Shire (A)
2020-03-21,2042,Locally acquired - source not identified,X700,Sydney,17200,Sydney (C)
2020-03-21,0000,Overseas,,,,
2020-03-21,2140,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,17100,Strathfield (A)
2020-03-21,2528,Overseas,X730,Illawarra Shoalhaven,16900,Shellharbour (C)
2020-03-21,2564,Locally acquired - source not identified,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-21,2034,Overseas,X720,South Eastern Sydney,16550,Randwick (C)
2020-03-21,2170,Locally acquired - source not identified,X710,South Western Sydney,14900,Liverpool (C)
2020-03-21,2250,Overseas,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-21,2262,Overseas,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-21,2250,Locally acquired - contact of a confirmed case and/or in a known cluster,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-21,2259,Overseas,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-21,2260,Overseas,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-21,2024,Locally acquired - source not identified,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-21,2280,Locally acquired - source not identified,X800,Hunter New England,14650,Lake Macquarie (C)
2020-03-22,2159,Overseas,X760,Northern Sydney,14000,Hornsby (A)
2020-03-22,2256,Overseas,X770,Central Coast,11650,Central Coast (C) (NSW)
2020-03-22,2208,Locally acquired - source not identified,X700,Sydney,11570,Canterbury-Bankstown (A)
2020-03-22,2340,Overseas,X800,Hunter New England,17310,Tamworth Regional (A)
2020-03-22,2567,Overseas,X710,South Western Sydney,11450,Camden (A)
2020-03-22,2060,Overseas,X760,Northern Sydney,15950,North Sydney (A)
2020-03-22,2074,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-22,2439,Overseas,X820,Mid North Coast,16380,Port Macquarie-Hastings (A)
2020-03-22,2575,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-22,2567,Overseas,X710,South Western Sydney,11450,Camden (A)
2020-03-22,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2220,Locally acquired - source not identified,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-22,2463,Overseas,X810,Northern NSW,11730,Clarence Valley (A)
2020-03-22,2023,Locally acquired - source not identified,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-22,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2017,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-22,2576,Overseas,X710,South Western Sydney,18350,Wingecarribee (A)
2020-03-22,2092,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-22,2024,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2205,Overseas,X720,South Eastern Sydney,10500,Bayside (A)
2020-03-22,2030,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2500,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-22,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2040,Overseas,X700,Sydney,14170,Inner West (A)
2020-03-22,2230,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2152,Overseas,X740,Western Sydney,16260,Parramatta (C)
2020-03-22,2142,Overseas,X740,Western Sydney,12380,Cumberland (A)
2020-03-22,2566,Overseas,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-22,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2210,Overseas,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-22,2232,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2234,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2234,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2227,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2227,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2092,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-22,2199,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-22,2233,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2621,Overseas,X830,Southern NSW,16490,Queanbeyan-Palerang Regional (A)
2020-03-22,2232,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2096,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-22,2145,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,12380,Cumberland (A)
2020-03-22,2100,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-22,2148,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-22,2768,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-22,2560,Overseas,X710,South Western Sydney,11500,Campbelltown (C) (NSW)
2020-03-22,2199,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-22,2199,Locally acquired - contact of a confirmed case and/or in a known cluster,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-22,2641,Overseas,X921,Network with Vic,10050,Albury (C)
2020-03-22,2541,Overseas,X730,Illawarra Shoalhaven,16950,Shoalhaven (C)
2020-03-22,2022,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2040,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,14170,Inner West (A)
2020-03-22,2088,Overseas,X760,Northern Sydney,15350,Mosman (A)
2020-03-22,2038,Overseas,X700,Sydney,14170,Inner West (A)
2020-03-22,2015,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-22,2540,Overseas,X730,Illawarra Shoalhaven,16950,Shoalhaven (C)
2020-03-22,2043,Locally acquired - contact of a confirmed case and/or in a known cluster,X700,Sydney,17200,Sydney (C)
2020-03-22,2010,Locally acquired - source not identified,X720,South Eastern Sydney,17200,Sydney (C)
2020-03-22,7320,Overseas,,,,
2020-03-22,2315,Overseas,X800,Hunter New England,16400,Port Stephens (A)
2020-03-22,2210,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-22,2210,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,12930,Georges River (A)
2020-03-22,2430,Overseas,X800,Hunter New England,15240,Mid-Coast (A)
2020-03-22,2009,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-22,2145,Locally acquired - contact of a confirmed case and/or in a known cluster,X740,Western Sydney,12380,Cumberland (A)
2020-03-22,2040,Locally acquired - source not identified,X700,Sydney,14170,Inner West (A)
2020-03-22,2444,Overseas,X820,Mid North Coast,16380,Port Macquarie-Hastings (A)
2020-03-22,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2500,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-22,2092,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-22,2093,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-22,2567,Overseas,X710,South Western Sydney,11450,Camden (A)
2020-03-22,2570,Overseas,X710,South Western Sydney,11450,Camden (A)
2020-03-22,2069,Overseas,X760,Northern Sydney,14500,Ku-ring-gai (A)
2020-03-22,2094,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-22,2099,Overseas,X760,Northern Sydney,15990,Northern Beaches (A)
2020-03-22,2227,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2530,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-22,2530,Overseas,X730,Illawarra Shoalhaven,18450,Wollongong (C)
2020-03-22,2443,Overseas,X820,Mid North Coast,16380,Port Macquarie-Hastings (A)
2020-03-22,2539,Overseas,X730,Illawarra Shoalhaven,16950,Shoalhaven (C)
2020-03-22,2548,Overseas,X830,Southern NSW,10550,Bega Valley (A)
2020-03-22,2477,Overseas,X810,Northern NSW,10250,Ballina (A)
2020-03-22,2024,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2026,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2170,Locally acquired - source not identified,X710,South Western Sydney,14900,Liverpool (C)
2020-03-22,2227,Overseas,X720,South Eastern Sydney,17150,Sutherland Shire (A)
2020-03-22,2026,Overseas,X720,South Eastern Sydney,18050,Waverley (A)
2020-03-22,2065,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,14700,Lane Cove (A)
2020-03-22,2023,Locally acquired - contact of a confirmed case and/or in a known cluster,X720,South Eastern Sydney,18500,Woollahra (A)
2020-03-22,2324,Overseas,X800,Hunter New England,16400,Port Stephens (A)
2020-03-22,2264,Overseas,X800,Hunter New England,14650,Lake Macquarie (C)
2020-03-22,2016,Overseas,X700,Sydney,17200,Sydney (C)
2020-03-22,2115,Overseas,X740,Western Sydney,16260,Parramatta (C)
2020-03-22,2148,Overseas,X740,Western Sydney,10750,Blacktown (C)
2020-03-22,2287,Overseas,X800,Hunter New England,15900,Newcastle (C)
2020-03-22,2287,Overseas,X800,Hunter New England,15900,Newcastle (C)
2020-03-22,2324,Overseas,X800,Hunter New England,16400,Port Stephens (A)
2020-03-22,2480,Overseas,X810,Northern NSW,14850,Lismore (C)
2020-03-22,2444,Overseas,X820,Mid North Coast,16380,Port Macquarie-Hastings (A)
2020-03-22,2480,Overseas,X810,Northern NSW,14850,Lismore (C)
2020-03-22,2759,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-22,2747,Overseas,X750,Nepean Blue Mountains,16350,Penrith (C)
2020-03-22,2753,Overseas,X750,Nepean Blue Mountains,13800,Hawkesbury (C)
2020-03-22,2153,Overseas,X740,Western Sydney,17420,The Hills Shire (A)
2020-03-22,2799,Overseas,X850,Western NSW,10850,Blayney (A)
2020-03-22,2795,Overseas,X850,Western NSW,10470,Bathurst Regional (A)
2020-03-22,2795,Overseas,X850,Western NSW,10470,Bathurst Regional (A)
2020-03-22,2145,Overseas,X740,Western Sydney,12380,Cumberland (A)
2020-03-22,2068,Locally acquired - contact of a confirmed case and/or in a known cluster,X760,Northern Sydney,18250,Willoughby (C)
2020-03-22,2162,Overseas,X710,South Western Sydney,11570,Canterbury-Bankstown (A)
2020-03-22,2320,Overseas,X800,Hunter New England,15050,Maitland (C)
2020-03-22,2287,Overseas,X800,Hunter New England,15900,Newcastle (C)
2020-03-22,2304,Overseas,X800,Hunter New England,15900,Newcastle (C)
2020-03-22,2230,Interstate,X720,South Eastern Sydney,17150,Sutherland Shire (A)
